441.39	7.526	14.085	12.05	52.857	23.787
441.75	7.778	14.432	12.337	54.057	24.172
442.1	7.826	14.685	12.283	54.935	24.243
442.46	7.923	14.899	12.248	56.035	24.505
442.81	8.004	14.919	12.35	56.935	24.676
443.16	8.189	15.155	12.593	57.746	25.027
443.52	8.204	15.241	12.628	58.435	25.221
443.87	8.434	15.321	12.87	59.313	25.461
444.23	8.393	15.308	13.05	59.946	25.476
444.58	8.489	15.343	13.404	60.735	25.594
444.94	8.337	15.319	13.539	61.524	25.521
445.29	8.4	15.532	13.937	62.635	25.661
445.64	8.304	15.652	14.028	63.479	25.665
446	8.378	15.766	14.026	64.513	25.905
446.35	8.371	15.73	13.883	65.546	26.032
446.71	8.467	15.943	13.948	66.613	26.272
447.06	8.426	15.952	13.805	67.457	26.465
447.41	8.656	15.955	13.882	68.468	26.849
447.77	8.659	15.874	13.85	69.201	27.054
448.12	8.811	15.943	13.859	70.046	27.394
448.47	8.748	15.841	13.661	70.868	27.532
448.83	8.756	15.921	13.815	71.79	27.927
449.18	8.648	15.952	13.861	72.457	27.987
449.53	8.589	16.221	14.082	73.257	28.172
449.89	8.515	16.263	14.205	73.879	28.143
450.24	8.6	16.443	14.448	74.535	28.283
450.6	8.515	16.519	14.317	75.124	28.365
450.95	8.678	16.743	14.459	76.157	28.694
451.3	8.659	16.885	14.683	77.001	28.654
451.66	8.723	17.155	14.993	77.724	28.783
452.01	8.904	17.219	15.139	78.424	28.699
452.36	9.2	17.443	15.437	79.357	28.894
452.72	9.326	17.408	15.65	80.09	28.887
453.07	9.567	17.532	15.948	81.057	29.094
453.42	9.626	17.574	16.183	81.879	29.187
453.77	9.734	17.821	16.682	82.702	29.349
454.13	9.637	17.885	16.817	83.146	29.276
454.48	9.711	18.055	17.015	83.802	29.494
454.83	9.615	18.085	17.105	84.212	29.521
455.19	9.589	18.277	17.259	84.724	29.694
455.54	9.437	18.285	17.25	85.268	29.732
455.89	9.5	18.466	17.426	86.09	29.905
456.25	9.259	18.496	17.405	86.712	29.887
456.6	9.267	18.721	17.493	87.535	30.094
456.95	9.215	18.796	17.528	88.357	30.232
457.3	9.356	19.11	17.826	89.368	30.449
457.66	9.437	19.274	17.961	90.235	30.465
458.01	9.745	19.51	18.215	91.479	30.749
458.36	9.826	19.596	18.405	92.457	30.887
458.71	10.034	19.899	18.715	93.335	31.072
459.07	10.059	20.085	18.794	94.09	31.132
459.42	10.211	20.455	19.159	94.979	31.405
459.77	10.193	20.719	19.45	95.657	31.387
460.12	10.289	21.077	19.837	96.513	31.483
460.48	10.137	21.196	19.983	97.368	31.599
460.83	10.089	21.421	20.27	98.268	31.905
461.18	9.915	21.585	20.483	99.057	31.954
461.53	9.889	21.877	20.87	100.246	32.249
461.89	9.748	22.085	21.294	101.312	32.321
462.24	9.678	22.388	21.848	102.235	32.549
462.59	9.582	22.396	22.194	103.135	32.732
462.94	9.711	22.432	22.626	104.29	33.105
463.29	9.771	22.43	22.805	105.146	33.243
463.65	10.067	22.677	23.137	106.09	33.405
464	10.148	22.808	23.383	106.835	33.432
464.35	10.334	23.055	23.859	107.446	33.749
464.7	10.437	23.141	24.039	107.846	33.921
465.05	10.7	23.255	24.326	108.646	34.361
465.41	10.782	23.341	24.628	109.501	34.576
465.76	11.045	23.832	25.059	110.602	34.794
466.11	11.115	24.23	25.405	111.512	34.91
466.46	11.3	24.71	26.104	112.635	35.294
466.81	11.271	25.063	26.639	113.568	35.499
467.16	11.378	25.677	27.248	114.835	35.883
467.52	11.415	26.163	27.761	116.324	36.154
467.87	11.634	26.777	28.526	118.113	36.472
